,Lead Time,Distance (km),Fragility Index,Natural Disaster Risk,BCP_risk,SCR_score
0,38.5,837.4335666015143,24.6,3.92,0.0,0.3002150235084398
1,23.099999999999998,1178.6345593480078,41.9,5.78,0.0,0.32317931466400807
2,21.0,818.5507495071594,28.8,6.67,0.0,0.41457597873434715
3,28.0,872.360735047979,21.0,4.04,0.0,0.40410416594580123
4,35.0,690.2515511155124,24.6,3.92,0.0,0.3435910102184724
5,21.0,1205.1741943769914,51.8,2.15,0.0,0.3361536611385428
6,10.5,1124.107031313811,51.8,2.15,1.0,-0.32231021596563764
7,28.0,725.1454823777842,48.8,0.97,0.0,0.3365781208903774
8,14.0,1205.1741943769914,51.8,2.15,0.0,0.3986474483503301
9,119.0,7359.206415767943,45.3,22.73,2.0,-2.7390802158772223
10,49.0,3.842769462022032,42.6,9.37,0.0,0.15093469961384387
11,21.0,1168.007274606258,51.8,2.15,2.0,-1.1785538685546244
12,14.0,1157.2079517411998,51.8,2.15,0.0,0.4026002887898644
13,14.0,1159.0674030853672,51.8,2.15,0.0,0.40244705363812694
14,14.0,1138.270677427018,51.8,2.15,0.0,0.40416088681902496
15,14.0,1138.270677427018,51.8,2.15,0.0,0.40416088681902496
16,38.5,837.4335666015143,24.6,3.92,0.0,0.3002150235084398
17,23.099999999999998,1178.6345593480078,41.9,5.78,0.0,0.32317931466400807
18,21.0,818.5507495071594,28.8,6.67,0.0,0.41457597873434715
19,28.0,872.360735047979,21.0,4.04,0.0,0.40410416594580123
20,35.0,690.2515511155124,24.6,3.92,0.0,0.3435910102184724
21,21.0,1205.1741943769914,51.8,2.15,0.0,0.3361536611385428
22,21.0,1205.1741943769914,51.8,2.15,0.0,0.3361536611385428
23,10.5,1124.107031313811,51.8,2.15,0.0,0.43657498948802254
24,14.0,1205.1741943769914,51.8,2.15,0.0,0.3986474483503301
25,119.0,7359.206415767943,45.3,22.73,2.0,-2.7390802158772223
26,280.0,367.8764159114132,24.6,3.92,0.0,-1.8171249945324117
27,14.0,1157.2079517411998,51.8,2.15,0.0,0.4026002887898644
28,14.0,1159.0674030853672,51.8,2.15,0.0,0.40244705363812694
29,21.0,1168.007274606258,51.8,2.15,2.0,-1.1785538685546244
30,21.0,15.252102001049503,42.6,9.37,1.0,-0.35891558638254856
31,21.0,15.252102001049503,42.6,9.37,1.0,-0.35891558638254856
32,21.0,15.252102001049503,42.6,9.37,1.0,-0.35891558638254856
33,21.0,15.252102001049503,42.6,9.37,1.0,-0.35891558638254856
34,84.0,6719.749062264338,45.3,22.73,1.0,-1.6150291619656425
35,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
36,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
37,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
38,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
39,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
40,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
41,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
42,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
43,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
44,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
45,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
46,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
47,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
48,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
49,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
50,21.0,487.81184806245204,42.6,9.37,0.0,0.36102653802740803
51,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
52,35.0,644.1499825941465,42.6,9.37,2.0,-1.2946150851800364
53,21.0,15.252102001049503,42.6,9.37,1.0,-0.35891558638254856
54,21.0,14.373384796913935,42.6,9.37,1.0,-0.3588431723532531
55,28.0,274.66506537825705,24.4,1.14,1.0,-0.2906064270220563
56,28.0,701.3625870144721,31.4,4.16,1.0,-0.382880928219466
57,28.0,701.3625870144721,31.4,4.16,1.0,-0.382880928219466
58,28.0,701.3625870144721,31.4,4.16,1.0,-0.382880928219466
59,28.0,701.3625870144721,31.4,4.16,1.0,-0.382880928219466
60,28.0,701.3625870144721,31.4,4.16,1.0,-0.382880928219466
61,35.0,518.5399416630631,24.6,3.92,2.0,-1.1600288532103866
62,35.0,518.5399416630631,24.6,3.92,2.0,-1.1600288532103866
63,35.0,518.5399416630631,24.6,3.92,2.0,-1.1600288532103866
64,35.0,518.5399416630631,24.6,3.92,2.0,-1.1600288532103866
65,35.0,518.5399416630631,24.6,3.92,2.0,-1.1600288532103866
66,35.0,518.5399416630631,24.6,3.92,2.0,-1.1600288532103866
67,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
68,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
69,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
70,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
71,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
72,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
73,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
74,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
75,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
76,14.0,434.01790900597194,24.6,3.92,0.0,0.5521882785174091
